index,caption
428,A boy in a red soccer strip is holding his boots in his hand whilst stepping out of a car .
429,This is a teen or young adult with braids in their hair sitting in a chair with a yellow pillow in their lap .
430,A girl holding a drink with a straw in it standing in front of a man kissing her on the cheek as she smiles .
431,A group of people gather in a bar  and one man in a black shirt holds his arm and signals to the camera .
432,A woman in a white and tan striped dress sits in the lap of a man with a tan collared shirt .
433,Family taking a winter walk in a park path while two of the children run ahead of the family .
434,Woman and man walking across wooden rope bridge with a caution sign beside it .
435,A man is helping a girl step down from a colorful truck whilst a woman and three children watch .
436,Two people are hugging and one is wearing a pink-hooded stretch top .
437,A woman in a blue helmet and brown shorts rides her bike on a busy street .
438,A little girl  with long blond-hair and wearing a dress  looking at her refection in a puddle .
439,A man in blue and white biking gear rides down a busy street .
440,A youth with long dirty blond-hair wearing a denim jacket and jeans looks at the conveyor belt of groceries while waiting at a checkout line .
441,A man and a woman  both wearing hiking gear  are standing on the edge of a large canyon .
442,A woman in a blue vest and a sky blue helmet stands with her bicycle in traffic .
443,A person wearing a short-sleeved light blue shirt over a long-sleeved white shirt and blue jeans is holding a long-lensed camera to his face while standing next to a red colored railroad car .
444,A woman wearing a white hat and shirt is jogging down a street with a plant store on the corner .
445,Odd looking young adult playing around a large tree that has big roots .
446,A group of people standing on the lawn in front of a building .
447,Six people are standing in a concrete block building with a piece of plastic and a green basket on the floor .
448,Three young men read the plaque on a wooden cross in a rocky landscape  one young man is talking on his cellphone .
449,A young girl with glasses is kneeling on a stone ledge in front of a mud-filled bucket .
450,A person trying desperately not to be photographed by putting their sweater over their head as they compute .
451,A young man wearing a baseball cap brushes at the base of a statue of Jesus Christ  during the day .
452,Three male figures of different ages stand next to some rocks as they are dwarfed by a large upright wooden cross .
453,Someone is holding a young women on their shoulders for her to be able to reach the area she would like to use a wire brush to scrape off peeling paint .
454,A man is standing on a ladder in front of a cross  while a person is holding the ladder .
455,A child and a man sit on the ground together  ready to use paintbrushes and a bucket .
456,Four men with baseball caps and logo t-shirts laughing together at a table .
457,A boy works on a log that he is using for a project .
458,A man in a white shirt is talking with two men and two women sitting on a bench .
459,Two men talk while the one on the right holds in his left arm  and the one on the right holds a notebook behind him  they are in a field .
460,Young male wearing a hoodie  is performing stunts on his skateboard .
461,a man wearing a blue shirt  standing on the railroad is taking picture of the bridge .
462,A family in an African village sits outside of their home on the ground .
463,A young dark-skinned child in a long blue coat is chasing a ball .
464,People on bicycles waiting at an intersection .
465,A construction worker in jeans is standing on a scaffold holding on to a metal frame with a city backdrop .
466,A little baby dressed in green and yellow wearing a bib cries .
467,A man without a shirt on is guiding a large brown horse pulling a green and yellow wagon .
468,There is a shirtless toned white man standing on a balcony of a construction site and holding some sort of tool .
469,A girl wearing flip-flop sandals swinging on a swing set in a park underneath fluffy white clouds .
470,One man  airborne  wearing an orange sweatshirt and blue jeans  does a skateboarding trick .
471,A child practices hitting a baseball into a net  while two adult men watch .
472,An Elderly man crouches to lift the covering off the grill wear several shish kabab are grilling .
473,A man jogs down a city street  with a line attached to his back that vanishes out of the left side of the picture ; a smiling cyclist rides past .
474," A man in a gray cap  a pink tank top and short skirt  pink-and-black striped socks  and boots juggles knives in front of a brick building whose sign reads "" The Pump Room "" while onlookers watch ."
475,Five Asian doctors in green hospital scrubs and masks having a discussion over what appears to be an ongoing operation .
476,A little boy is standing on the beach with a blue bucket and a green shovel while looking at the water .
477,A young girl wears a shirt and shorts as she plays in the ocean 's surf .
478,Three people  two males and a female  are sitting in front of a tall tree on the ground during a rest from a hike .
479,A man with a pitchfork stands near a bucket of branches across from an apartment complex .
480,An elderly man holding a pitchfork and doing some yard work .
481,A man and dog concentrating on a camera taking their picture in the street .
482,A male figure in a long-sleeve shirt and suspenders is standing in the entry to a black train .
483,Two ladies are cooking & talking and two gentlemen are talking in the opposite site of the kitchen .
484,a young girl wearing a blue shirt marching in a band playing a trumpet
485,A man in tan shorts talking to a young girl in a red shirt .
486,Two young boys in black are fishing as a young blue in blue watches .
487,A woman with a small child in her lap reading a picture book .
488,Two women  sitting at a table  with a green straw inside of a drink .
489,A little toddler boy is crying while walking .
490,Woman dressed in a green hat and apron is holding a tray full of drink samples .
491,Three people are standing in the snow preparing an ice fishing boat .
492,A woman in an outdoor marketplace  wearing a large cone shaped hat  standing behind two large baskets containing loaves of bread .
493,A man in a white and black uniform carries luggage and blankets across a sidewalk outside of a red bricked building .
494,Three people are walking on a lake shore with houses on the other side .
495,A woman in a red swimsuit and blue swim cap swims underwater while wearing a pair of yellow nose plugs .
496,An older bearded gentleman in glasses is reading a book in front of an open laptop  possibly in a classroom .
497,A man in a baseball cap cleans out a blue colored pit outside where colorful Christmas lights hang above him .
498,A barefoot young girl in a pink gown is asleep on a hard wood floor cuddling her baby doll .
499,Person in a brown sweatshirt does a flip in midair over a trampoline with a river and electrical lines in the background .
500,A female washes her medium-sized dog outdoors in a plastic container while a friend secures it with a leash .
501,A child jumping into a lake in a wooded area while another child plays on the shore .
502,A child wearing a gray hat and black jacket while sleeping on a red coat .
503,White-haired man in gray sweater and a straw hat sitting on a bench under a tree .
504,Three children sit on the grass  one laying down  one in overalls smiling and one in green looking through a tote bag .
505,The man in the hooded sweatshirt is controlling the large machine .
506,Three girls are walking across a bridge covered with wood and surrounded by trees .
507,The view from a overlook at the public beach .
508,A woman in a blue shirt with a blue bag passes by a large yard sale with colorful clothes  adults and children within .
509,A man standing up in a boat paddling toward a shore lined with furniture and other large objects .
510,An Asian woman and an African American woman are displaying their culinary dishes .
511,A little girl with a red hood and shirt is sitting with legs sprawled on a rock  her mouth open .
512,Blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .
513,A young woman is stirring something in a pot while a young boy wearing a flowered apron stands by her .
514,A woman carried a cake ito the room with three candles as another woman holding a flute glass of wine  holds up her hand .
515,Two Asian women and an Asian girl are sitting at a farmers market and are selling produce including yams .
516,A mountaineer sits in the snow in front of a yellow tent under clear blue sky .
517,A gray dog beside a black and white dog running in green grass .
518,A man in an orange safety vest kneels on a train track while repairing a passenger train .
519,Four men working putting a tree into the ground  two are looking away  while the other two are shoveling the tree into the ground .
520,A man in a red shirt and glasses is bending down towards a small dog on a blanket with several stuffed animals .
521,An elderly woman sits in a chair with a book and smiles at the pretty flowers in her room .
522,At a martial arts demonstration  a few men in white uniforms stand atop one another  doing stunts .
523,Construction workers standing on top of a piece of machinery .
524,Two men in hard hats on the roof of a building that is under construction .
525,A boy in a blue shirt smiles as he sits with his red stuffed animal .
526,A young child in a striped sweatshirt brushes the hair of a younger child .
527,A young man demonstrating his prowess in the martial arts for his girlfriend as she sits on a concrete wall that is part of a general seating area .
528,man in dimly lit kitten cutting on the counter next to stove
529,closeup picture of a man with a nose ring and a brown shirt
530,The man in the yellow t-shirt is pulling a large grin on his face .
531,A boy with a brown shirt is holding onto a person with a white shirt around a spray of water .
532,a man standing in a bar with a neon beer sign hanging on the wall
533,Woman with rolled up jeans throwing a frisbee on the beach .
534,A big brown dog plays with a smaller gray dog on the grass .
535,Metal worker in protective gear and welding face mask works on weld .
536,Three men  each wearing a white shirt and orange shorts  build a sand castle while another man  wearing the same clothing  looks on .
537,Two people are standing on the slopes of a mountain and they have a dog with them .
538,A group of people walk on the sidewalk outside of an AMC movie theater .
539,A girl in blue is jumping on the shore as small waves approach her .
540,A group of different people are walking in all different directions in a city .
541,Closeup of man with glasses blowing a bubble gum bubble in a dimly lit room with a faint ceiling light in the background .
542,A young student receives fencing instruction from his kneeling teacher while a potential opponent and a woman gaze behind them .
543,The brown and black dog is jumping up to catch a red ball .
544,One black female and one white female plus three white males  all wearing forms of black  in front of a concrete stair structure with other people sitting on the stairs .
545,Two blond boys  one in a camouflage shirt and the other in blue  are having a water fight .
546,a brown dog jumping into a pool after a bloe ball .
547,A Mac laptop  open  on top of a blue chair in a room with a group of people sitting in a semicircle around it .
548,A man  a woman and a little girl stand on the beach by the water 's edge dressed in formal attire suitable for a wedding .
549,A man leans against a rock pillar with his back to an ongoing parade decorated with white and pink balloon arch .
550,Five girls and one boy are in their swimsuits all in the middle of jumping into the pool .
551,Restaurant workers smile as they take a break  gathered around a huge copper bowl in the kitchen .
552,A little boy with a pacifier in his mouth stands in a park with a goose .
553,A woman in a green tank top looking at a drill while a crowd looks on .
554,Twin toddlers dressed alike being pushed in plastic car strollers in a parade
555,Four men  one in a long blue robe  looking like they are doing laundry in a muddy pit in a 3rd world country .
556,A small boy smiles as he stands with others wearing the same black hats .
557,A family coming back from shopping and a gentlemen is reading his newspaper to the side of the street .
558,Two teenage girls jumping in a yard  with a two story brown building in the background  while holding each others right hand .
559,A woman with a red sleeveless top and a long black skirt holding one young child in her arm and holding another young child by the hand as she walks along .
560,A brown dog running through the grass and flowers .
561,A woman in a white hat is conversing with another woman with a bike on a busy street .
562,Colored woman rolling a bowling ball down an alley .
563,Two soccer players  one wearing a white uniform and the other in red  try to reach the soccer ball first .
564,Eleven men and women in cotton shirts and denim pants walk uphill along a shaded forest trail .
565,There are three young boys playing in a public park with a red ball .
566,A little boy wearing a purple shirt and blue jeans kicking a ball on the grass .
567,This picture of a man reading is tilted .
568,A man in a blue workers outfit with a yellow construction hat examines the side of a brick building from the top of a ladder .
569,Construction workers wearing bright orange suits are working on a road in the rain .
570,A festival is going on right outside a lake  with several drummers in red shirts and a man on stilts playing the drums .
571,A man in a white shirt with hot pads on is holding a tray with a variety of breads with a wooden fence behind him .
572,A small dog plays with a toy on top of a white blanket .
573,A dog running across a grassy field with a stick in its mouth .
574,A girl wearing glasses and a brown plaid long-sleeved shirt holds a cup and looks through a book with people photographs and text .
575,In a park  a boy is bent to read the tree description  and a girl is standing nearby waiting for him .
576,Two men in black clothes at a meat market showing a red meat while workers in blue look on .
577,Several children sit on a carnival ride in front of the face of a clown and several fake balloons .
578,A blond woman wearing glasses and a gray sweatshirt is cutting something with scissors .
579,A woman wearing a pink sweater and eyeglasses is wiping a wooden table with a pink sponge .
580,A man in a blue tee-shirt  wearing a cap  is riding a white horse down a dirt road  in a rural setting of grass and hills .
581,A woman cooks on the stove in her kitchen as her dog begs below .
582,Redhead woman in pigtails and glasses sewing on a sewing machine .
583,Two bald men in a bedroom with one man working on a desktop computer and the observing while seated on the bed next to him .
584,One dog is jumping into a pool while another runs along side the pool 's edge .
585,A young boy  wearing shorts and a red tank top  is sliding down a mountain of snow  riding a board on his belly .
586,A man and a woman locking arms ( wearing expensive clothing ) next to glass display ( perhaps retail stores ) on the sidewalk in an urban setting .
587,A man wearing an orange construction hat wipes his face  while another man in an orange construction hat hoists something up on a chain pulley  while standing in front of some fire .
588,A woman with an umbrella is sitting at a station  with an Aquos commercial on the wall .
589,Two people standing in front of a yellow building with a painted mural of an athlete  a rock group  and graffiti .
590,a man  a woman  and a younger girl are moving a device with a conveyor belt
591,A man wearing a construction hat and gloves works with machinery .
592,A homeless man holding up a sign with his request for money and his reasons for asking .
593,A young girl rides a unicycle next to another riding a scooter on a busy street .
594,Two climbers attempting to climb a steep  snow-covered peak  nearing the top  where two other climbers await them .
595,A man with a determined look on his face holds a small wooden hammer while wearing a bib displaying a large red crab  another red crustacean held in his hand while another man sits and holds some food behind him .
596,A family is standing on a stone bridge and watching the father jump off  there is a forest in the background .
597,A person in a brown jacket is sitting on a pier by the water reading .
598,A man playing a guitar and a man dancing are entertaining a couple sitting on a ledge by the street .
599,A half dozen construction workers stand beside a large piece of equipment .
600,A woman ventriloquist is playing with her colorful green and red dragon in a beautiful garden backdrop .
601,A group of mixed aged people are sitting on the sidewalk waiting in a line .
602,A woman in a jacket walks on the beach in someone 's footprints while holding her shoes in her hands .
603,A group of people  a wedding party including a bride and groom  are walking down a path lined by benches and surrounded by grass and trees .
604,A woman in a purple jacket is eating a snack at a table behind the tree .
605,A man in a white shirt and a woman in a black shirt are standing in front of a store .
606,A man in a black shirt and jeans walks beside a woman in black pants and a flowery shirt in front of a refreshment stand with others walking nearby .
607,A man wearing a blue jacket and glasses holds the handrail while climbing the stairs .
608,Three people dressed in white clothing in caps giving three other people dressed in white clothing and caps a piggyback ride .
609,A crowd of people are sitting on a bench beside a white statue of a man 's head in a park like setting while four pigeons look on .
610,A young female is sitting in a chair on the beach  while reading a book with her feet in the sand .
611,People are boarding a train that 's painted yellow on the front .
612,Two toddler boys  one in a plaid shirt  the other wearing a t-shirt and bib  are seated in yellow chairs embedded in a table .
613,A bunch of people with little white hats are sitting in a park .
614,A man is sitting in front of a computer monitor holding a keyboard and looking at the camera .
615,A little boy in a red shirt sitting on a wooden picnic table bench .
616,A man in a striped red polo shirt  tan khakis  and a Nike visor is surrounded by a crowd of onlookers as he finishes a golf swing .
617,Two men stand at a chalkboard that forms part of a stone wall in front of a number of tables and chairs of which only a few are occupied .
618,Some people with black belts  or black and red belts  are performing martial arts on a green mat .
619,Female black belt martial artists performs outside on a gray day with weapon on a mat while spectators and other martial artists including 3 children look on .
620,Several young adults performing in martial arts clothing .
621,A view from above of a young woman sitting behind a green both under a sign offering programs and ice cream .
622,Two dogs are playing rough in a green field of grass .
623,A boy in a blue shirt is posing in front of an igloo type building with a person dangling from a rope above the building .
624,A baby on the floor laughing at an older another child .
625,Inside a gymnasium  martial artists in protective gear face off with naginata pole arms .
626,A couple sits on a ledge to the left of a large tower of pink  purple and blue cotton candy .
627,a girl in yellow dress is standing with her eyes closed in a busy park .
628,Several men are working on tiles together while sitting on the floor .
629,A woman in a yellow hat  blue shorts and purple shirt sits with a woman wearing green shorts  a white shirt and pink hat on a stone wall .
630,A man on a utility lift is standing in the tree branches .
631,Two men with dark hair wearing glasses and black shirts eat bread while holding their hands up to the camera .
632,A man in some sort of establishment  smiling while he is taking off or putting on glasses .
633,A boy watches a woman walking amidst many concrete boxes .
634,A young child is doing a handstand out on the street .
635,A man in a gray and yellow jacket stands behind the counter at Boston Belle .
636,A man takes a picture of another man in an open area just off of a busy street .
637,An elderly man kayaking in a body of water with a cute bird on the corner of his little boat .
638,A clown in a red and green shirt  yellow tie  juggles four small balls .
639,A man in a pink plaid shirt  holds a blue object  a green object and a red object that are often used for juggling .
640,Five adults are playing cards while sitting outside at a picnic table in their backyard .
641,A man  woman  girl  and boy sit on a concrete bench by a beach .
642,Two men  in the woods  cook something in a can over an open fire .
643,Three men in cold-weather styled clothing walking down a road .
644,Men in pants and coats walk up a steep and narrow road .
645,Someone parasailing with a green parachute that has a face on the top of it
646,Two guys  one wearing a blue jacket and the other wearing a red jersey play the trumpet together .
647,Many people are climbing the mountain surrounded by pretty green trees .
648,Two policemen looking at a building from a distance by their car with binoculars .
649,Small children with dark hair  dressed in brown smocks with sandals make faces as they dance .
650,A young lady with brown hair is reading a compass while the man next to her points to a paper .
651,Two people outside cleaning windows while on a ledge of a boat .
652,Three children  baby in the center  sit in an outdoor swing chair .
653,A young boy prepares to field a baseball with people in the background .
654,Two young girls are playing and laughing in a green grassy yard .
655,People in black coats walk slowly through deep snow to approach a bridge in winter .
656,A construction worker in a yellow vest digs in the street while a second worker looks on .
657,Three men with yellow vests doing work on the side of a street with three blue and white trucks nearby .
658,Three men with reflective safety jackets are watching two men in reflective jackets put rocks into a hole in the road .
659,The journey is temporarily delayed by mechanical malfunctions .
660,A woman in a brown knee length skirt and a silk brown button up shirt is sitting on a stone bench at a art gallery fixing her skirt .
661,A young boy in orange and white swings in a playground at a park .
662,Two men wearing khaki pants are looking at a tree that has just been felled by a saw .
663,Construction workers working on a highway at night as people look to see what they are doing .
664,A man wearing sunglasses playing a silver guitar .
665,A group of people in a coffee shop at night have coffee and juice together .
666,Four people of all different walks to life share one park bench while one man plays the guitar .
667,A man and a woman are fishing on a small boat  in a lake surrounded by a bunch of trees .
668,A little boy is eating his food off of a spoon while sitting on a patio .
669,Four young Asian boys hold bowls and chopsticks as they stand around a barbecue .
670,A woman in a blue coat and blue heels walks down a city sidewalk at night .
671,A man and women outside  the women is in a boat and the man is holding something in his hand putting it up to the women 's mouth while wearing sunglasses .
672,A man in a gray shirt is operating the soundboard for a social gathering .
673,A man wearing glasses holds a flip phone in his hand while a woman wearing earrings stands behind him .
674,A brown dog and a black dog are standing against each other in some grass
675,The man in a red checkered shirt is having beer and playing frisbee in the park .
676,Two people are working the one guy is measuring and the other guy is watching
677,Native Americans are dressed up in native clothing and are participating in an activity together .
678,A man in white playing tennis is still in midair after jumping to hit the ball .
679,A dog leaps into the air in a grassy field surrounded by trees .
680,A lady wearing a green shirt stands on the window seal of a brick building as a young boy watches on .
681,Two girls are playing soccer and one is wearing a white shirt with green shorts showing the number 4  while the other girl is wearing a red and white shirt .
682,A toddler wearing a pacifier is sleeping on a red blanket with a teddy bear at his side .
683," A rickshaw puller in an Asian country smiling and making a "" thumbs up "" sign at the photographer ."
684,There is a little blond-hair girl with a green sweatshirt and a red shirt playing on a playground .
685,A constructions site on the side of the mountain with a bulldozer digging in the ground that is all dirt
686,A man holding another man by the back of the head about to punch him in the face .
687,Two men are wrestling  one has the other pinned to the floor and the man on the floor is wincing in pain .
688,Two men  one with a beard  red t-shirt  and black pants and the other one in a gray t-shirt and black pants  appear to be fighting .
689,A group of African American people dressed up have their hands together as if in prayer .
690,An old woman wearing a yellow jacket and blue jeans trying to choose some vegetables from a street stand .
691,Three women at a shopping mall  one has a dog  one is on her cellphone  one is playing with her necklace .
692,Two women donning hats adorned with flowers pose for a picture .
693,A young girl wearing a helmet and riding a brown horse .
694,A man in a black shirt shares something with a group of girls sitting on a bench .
695,An elderly man is smiling while sitting in front of a row of soda cans .
696,There are items hanging up in the background and then there are picnic tables made of wood and two big grills where people are cooking and a man watching .
697,A young girl in dark shorts and a blue tank top runs on the grass near an orange cone and tape .
698,An asian family is picnicking at the beach while others play in the water .
699,The two men are wearing tall hats  one hat is a red print and the other is gold colored .
700,A person in a blue shirt sits behind two people sitting on a wood bench .
701,A man wearing sunglasses is standing next to a person who is wearing a hat and breathing mask .
702,Three people  one with a black shirt  one with a navy blue jacket  and one with a red t-shirt  working in an office with a large messy bookshelf .
703,A swimming person is watching a child jump into a pool with blue water .
704,Child flips off pool diving board  man and another tumbling child at poolside .
705,A lady with an orange jacket is holding a walkie talkie  while another lady wearing a lime green jacket is standing near her looking at something in her hand and holding a cane .
706,An older man finishes the last touch up on his sculpture .
707,Large skillet full of soup boiling over an open campfire and woman rummaging in a cardboard box in background .
708,A young woman in a blue shirt stands  holding a young girl in a denim dress .
709,A man in blue shirt with a spatula is bending over to pick something up while grilling  as another man in red and black rain jacket leans on grill and watches .
710,A red liquids travels down a grate as it leaks across a street .
711,A group of people  of all ages  listening to a concert being performed by a solo practitioner .
712,Two dogs are playing in a grassy field ; one dog is biting the ear of the other dog .
713,A blond woman waring a straw hat  black halter top  gray shorts and black flip-flops sitting on the ground drawing on the sidewalk .
714,A man in a green t-shirt and long tan apron hacks apart the carcass of a cow while another man hoses away the blood .
715,A man with a large red feather in his hat is sitting on top of a horse .
716,Three people in a group of cars in what appears to be a city scene ; two of them carrying a large bottle and one is a female dressed in high heels .
717,The woman lacrosse player in blue is about to catch the ball .
718,A dog is wearing a red number 6 and running through a field of green grass while being chased by a bird .
719,A woman in a brown shirt is about to release a blue bowling ball into the aisle .
720,Two men  one looking at a screen with a drum next to him  while the other is a man dressed in a white shirt is talking into a microphone .
721,A large brown horse stands over a small black colt that is kneeling on the sand .
722,A young boy watching and admiring puppets in a puppet shop at the downtown convention center .
723,A man is sleeping on a hammock right next to a body of water .
724,A group of 11 smiling kids and young teens are divided into two groups  in a large  indoor swimming pool  with the back person in each group holding their arms up .
725,A man is sitting on a short stool  with his back turned to the camera  facing some stacked orange and yellow crates .
726,A man in strange outfit sits in a lawn chair near a Ben and Jerry 's stand .
727,A street performer strumming on his guitar  waiting for people to toss him tips .
728,A woman wearing black glasses is sharing sweets with a toddler girl wearing a princess hat .
729,A black and brown dog is laying on a white shaggy carpet .
730,A group of friends smile for a picture at the beach .
731,A little boy looks at his reflection in a burnished marble wall .
732,A group of people with bikes looking in the direction another young person is pointing .
733,A child in all pink is posing nearby a stroller with buildings in the distance .
734,A man in sunglasses talking to a blond woman in front of a store window .
735,A busy city scene with colorful lighted buildings and a lot of people walking on the street .
736,A woman in a blue jacket is bending down and holding out her arms for a little boy .
737,A bald white man wearing an apron dines alone at a restaurant table  set with a full meal and a bottle of wine .
738,A man wearing a white apron is sitting at a table with a meal in front of him .
739,Three chefs  wearing white hats and black aprons  are preparing food in a crowded kitchen .
740,A man wearing a blue shirt crouches on a rocky cliff .
741,A little girl wearing a yellow dress moves frantically in front of a crowded baseball stadium .
742,Three children in jackets looking at water 's edge looking at their reflections in a lake
743,A girl wearing a pink shirt lays on the green grass and looks up .
744," A man and woman are holding a sign that reads  "" Teaching Children for peace "" ."
745,Three people wearing colorful costumes and masks sitting between two stone statues .
746,Blurry picture of mountain biker descending rocky trail .
747,Three little blond girls  two in blue  one in pink  play on a sunny beach .
748,A little girl in a colorful dress is playing with a blue and red soccer ball .
749,A snarling brown and black dog corners a brown long-haired cat under a wooden bench .
750,Six people ride mountain bikes through a jungle environment .
751,A group of people attending either a concert or a party .
752,Two women sitting under a tent  one with shirt red-hair  dark clothes drinking and the other laying down playing the guitar in a green top and jean peddle pushers both barefoot .
753,A man with an axe chopping wood in front of a teepee .
754,A boy wearing a bike helmet  jeans  and a striped shirt and a girl wearing a green shirt and jeans ride bikes with training wheels down a sidewalk .
755,A woman and a young boy sit on a police motorcycle and smile for the camera .
756,A skinny shirtless man wearing sunglasses  a tiger scarf around his neck and a black belt and jeans is hammering on a metal rod .
757,A person with short hair and a scarf plays a strange-shaped instrument with a bow .
758,two men in a wooden boat  one wearing yellow and one wearing black  traveling on a smooth body of water .
759,A young man  with billowy red-hair  lines up his shot of the 9 ball on a pool table .
760,a man in a red outfit is riding a red motorbike uphill on a motocross circuit .
761,A child is taking a drink from a large cup with a straw being held by a woman .
762,Several women are gather around a table in a corner surrounded by bookshelves .
763,Three pairs of different-colored underwear hanging from a clothesline with people and cars in the background
764,Two blond women sit outside as people walk by wearing casual clothing and some wearing bookbags .
765,Two people  in bike gear  stand with bicycles near a rocky waterbed .
766,A girl wearing a pink shirt and overalls is smiling and there is another child that is out of focus .
767,a young boy wearing a clever black and white shirt with his head bowed down
768,The blue SUV was completely totaled in the accident and was towed away promptly .
769," A sign that displays "" Mongolian BBQ "" shines above two employees in white shirts and caps and green aprons ."
770,A small child in water with a splash encircling him while the white clouds float over the mountains .
771,Two young boys in swimming trunks are in the water looking at each other .
772,A big green tractor pulls a red attachment along a weeded area .
773,Three children are playing outdoors  two of them on a metal barrel swing .
774,A varied crowd mills about ( or rough-houses ) on a public street  with lots of bicycles on display .
775,Two individuals on a beach jumping up with their arms and legs spread wide open .
776,Three people sit at an outdoor table in front of a building painted like the Union Jack .
777,There are about a dozen of men in work clothes that are getting directions for a task .
778,The two young girls  one wearing a skirt and the other wearing shorts  are playing in a bubbling fountain .
779,A young boy wearing a white shirt is dangling from the monkey bars .
780,Three dogs on the beach  one has it 's mouth open .
781,A person in a red car  with a bridge in the background .
782,A young asian woman wearing long shorts and a gray collared t-shirt is sitting on a wooden bench .
783,A man in a plaid shirt with a laptop in his lap is sitting next to a table with a microscope and a circuit board on it .
784,Man dressed in coat  scarf  and hat painting a picture of a building on an easel in the streets .
785,a woman is sitting on a bench with a latte in her lap and a white dog on a blue leash to her side .
786,A man in a bright green shirt and sunglasses is riding a bicycle through the streets whilst drinking a latte .
787,A young musician playing a small guitar and singing  while sitting in a white plastic chair .
788,A woman with a blue shirt and blue shorts has her hand on a white taxi  as a boy in a green and white shirt walks beside her .
789,Baby with blond pigtails in yellow room attempting to climb out of green playpen .
790,A man in jeans and a blue long-sleeved shirt is on his phone while leaning on the edge of a building .
791,Children are climbing and digging in the sand at a makeshift playground  which features a structure made from tires .
792,A person in a red and black ski outfit is looking over a snowy  mountainous landscape .
793,A man in all white sitting cross-legged around big wide baskets of different vegetables in a market .
794,A skateboarder in a red baseball cap  black shirt and tan shorts skates alone in a wide open space .
795,A child is rock climbing while wearing a white safety helmet  white shirt  blue jacket  blue jeans and white sneakers .
796,The girl with the long brown hair and bangs in her face is holding her hand to her chest .
797,A woman in jeans and a hoodie on a subway sleeping while others ride along .
798,A girl with a ponytail is tying her shoes with a bent knee while on a grassy field .
799,A man wearing a yellow visor  yellow shirt and green shorts is in the air .
800,A little girl wrapped in a dark blanket smiles broadly and stirs a spoon in a pan while she stands beside a crowded kitchen counter .
801,A woman seated on the subway wearing blue jeans and a black shirt with small designs has her head bent down to her knees .
802,A young boy actively engaged in display model .
803,A man in a black shirt and blue pants jumps over a stack of wooden boxes .
804,a black and white dog walking through the grass with a long stick in his mouth .
805,bald man in what looks like to be a lab with a lady watching as he is mixing some liquids in clear cup containers
806,A young bearded man in a gray hooded sweatshirt stirs a pot with a wooden spoon .
807,A woman wearing a blue sweater sits at a table with a colorful tablecloth and clasps her hands together .
808,A woman works on a piece of computer equipment  while surrounded by a variety of mechanical and computer equipment  in what appears to be some type of laboratory workroom .
809,A skinny guy with long curly hair and glasses is wearing white gloves as he injects something in a bottle
810,The little boy fell face first into the grass while playing football .
811,Woman adjusting her boot near a large crowd of people at an outdoor event .
812,A birthday celebration taking place for a girl who has reached age 5 .
813,A green train getting ready to enter a tunnel  along with the train conductor who is wearing a blue hat and shirt .
814,A man looking at the back of a computer wires inspecting the job he has done .
815,A casually dressed man has several flutes into which he is pouring champagne .
816,A black dog runs after another black dog who is carrying a ball .
817,A young girl jumping off a concrete block  with her arms and hands in the air  above her head .
818,About 12 kids and a few adults get splashed by an off-camera source .
819,An native-looking older man is sitting and working on making an item that looks to be similar to his hat or bag which is beside him .
820,Blond-haired woman pulling apart a watermelon  sitting atop a marble table .
821,A crowd of men and women wait to board a train at a train station .
822,A young child dressed in a yellow plaid shirt and a blue hat  sits and stares out at the water .
823,A boy in a gray hooded sweater  looking at a school of fish at an aquarium .
824,Crosscountry skiers are traveling towards the mountains at sunset .
825,A man talks to several others behind a table in a restaurant kitchen .
826,One man in red shirt and black pants with a man in white shirt and tan shorts  golfing .
827,A woman in a blue shirt and pink sweater  with a slightly goofy expression  is sitting at a table where a game with miniature players and dice is being played .
828,A woman in shorts and a blue sleeveless shirt leans over a golf club .
829,A group of people wait in line in front of a counter .
830,The person towards the right is wearing riot uniform while people seem to be filing out .
831,A woman in a lavender sleeveless top and a nose ring is laughing while covering the eyes of another woman wearing a yellow striped shirt with her hands .
832,A woman is reading a newspaper and a boy is resting his head on a seat in a rail car .
833,People sit in a crowded stadium watching some sort of event - there is a woman with red-hair in the foreground and in the bottom left corner two people stare directly at the picture taker .
834,A topless person with a backpack is shown against on a pile of rocks with a cloudy background .
835,A boy dressed in khaki shorts and a red shirt runs on a beach with green  white and blue structures and a half moon behind him .
836,A tall gray pole behind which a person wearing an orange shirt is perched on the wall and hiding his or her face with one hand .
837,A man and a lady  carrying a gray bag on her shoulder  are walking among a crowd at a gathering .
838,A man in traditional orthodox Jewish dress is seen alone from behind .
839,A man in a blue sweater stares at the driver of a car on the street .
840,A man using a metal detector walking on the beach as people are in the water and on the beach .
841,A boy wearing a blue shirt is outdoors and is closely examining a found object with yellow tentacles pointing upwards .
842,Two children  a boy in a blue shorts suit and a girl in a blue jumper  have a conversation in the hallway of a church .
843,A waterskiing man does a flip behind a speedboat .
844,An man in khaki shorts and a white t-shirt is lifting a toddler onto the lap of a Jelly Belly .
845,A man is pulled behind a boat on a knee board while another doing the same begins to fall .
846,A african american man with a gray shirt seasoning meat on a barbecue grill .
847,An African child attempts a headstand on the front of a boat painted blue and white in water next to a field of crops .
848,Some young men looking over the edge of a bridge on a sunny day .
849,Two men are sitting on a park bench serenading people walking through the park at night .
850,two women and a child are sitting by a cart of arrows in front of a booth at a medieval Fayre .
